No_Rooms,Bathroom,Locality,Region,Longitude,Latitude,Furnished,Area,AC,Water_Heater,Dining_Set,Electricity,Bed,Access_Card,Kitchen,Fridge,Washing_Machine,TV,ATM,TV_Cable,Grocery,Internet,Swim_Pool,Laundry,Security,Basketball,Multipurpose_Room,Gym,Jogging,Tennis,Restaurant,Playground,Total_Facilities,AnnualPrice,FurnishedNew
2,1,Gajah Mada,Jakarta Barat,106.815297,-6.149237,1,45.0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,18,52000000,Full
2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,1,35.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,21,45000000,Full
2,1,Cipinang,Jakarta Timur,106.879075,-6.225031,0,34.0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,18,75000000,Semi
2,1,Casablanca,Jakarta Selatan,106.846292,-6.222918,1,42.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,90000000,Full
0,1,Menteng,Jakarta Pusat,106.838463,-6.191791,1,28.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,72000000,Full
1,1,Kelapa Gading,Jakarta Timur,106.89321,-6.175884,1,43.0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,18,48000000,Full
2,1,Cipinang,Jakarta Timur,106.879075,-6.225031,1,34.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,20,57700000,Full
2,1,Kalibata,Jakarta Selatan,106.849866,-6.257697,1,36.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,61000000,Full
2,1,Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,1,33.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,23,78000000,Full
0,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,1,26.0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,15,35000000,Full
1,1,Casablanca,Jakarta Selatan,106.842672,-6.224187,1,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,250000000,Full
2,1,Kemayoran,Jakarta Pusat,106.85716,-6.14607,1,52.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,21,60000000,Full
3,2,Kedoya,Jakarta Barat,106.767839,-6.188799,0,150.0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,21,117500000,Non
3,2,Puri Indah,Jakarta Barat,106.73873,-6.190723,1,112.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,150000000,Full
0,1,Kalimalang,Bekasi,107.0197,-6.2621,1,24.0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,11,36000000,Full
2,1,Puri Indah,Jakarta Barat,106.73873,-6.190723,1,84.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,216000000,Full
0,1,MT Haryono,Jakarta Timur,106.866201,-6.245201,1,26.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,20,54000000,Full
0,1,Kedoya,Jakarta Barat,106.757651,-6.186415,1,27.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,21,37000000,Full
2,1,Senayan,Jakarta Pusat,106.791301,-6.221632,1,98.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,21,72000000,Full
0,1,Menteng,Jakarta Pusat,106.838463,-6.191791,1,28.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,65000000,Full
1,1,Kuningan,Jakarta Selatan,106.831123,-6.222417,1,49.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,21,120000000,Full
2,1,MT Haryono,Jakarta Timur,106.867963,-6.243129,1,30.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,20,40500000,Full
0,1,Menteng,Jakarta Pusat,106.838463,-6.191791,1,28.0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,16,54000000,Full
2,1,Tanjung Duren,Jakarta Barat,106.788166,-6.175894,1,42.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,56000000,Full
0,1,BSD City,Tangerang,106.683509,-6.295373,1,24.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,20,50000000,Full
3,1,Fatmawati,Jakarta Selatan,106.795392,-6.303504,1,83.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,144000000,Full
0,1,Serpong,Tangerang,106.682451,-6.293003,0,28.0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,15,21000000,Non
2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,1,35.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,21,42000000,Full
2,1,Kelapa Gading,Jakarta Utara,106.8944,-6.159513,0,37.0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,19,35000000,Non
2,1,Pluit,Jakarta Utara,106.778618,-6.109022,1,35.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,38000000,Full
2,1,Kuningan,Jakarta Selatan,106.829196,-6.224797,1,60.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,150000000,Full
1,1,Tanjung Duren,Jakarta Barat,106.788741,-6.178919,1,30.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,21,44000000,Full
2,1,Kemayoran,Jakarta Pusat,106.85716,-6.14607,0,60.0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,18,60000000,Non
2,1,Kelapa Gading,Jakarta Utara,106.91636,-6.154352,1,36.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,21,18900000,Full
2,1,Kemayoran,Jakarta Pusat,106.85716,-6.14607,1,57.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,59550000,Full
0,1,Karawaci,Tangerang,106.607673,-6.228493,1,31.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,21,48000000,Full
2,1,Pancoran,Jakarta Selatan,106.851836,-6.257163,1,36.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,22,75000000,Full
2,1,Kelapa Gading,Jakarta Timur,106.904441,-6.181255,1,36.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,20,25000000,Full
